,Strategy,Number of addresses,Number of accesses in loop,Different addresses in loop,Step size,Mirrored,Rate,Average runtime
99,10-8-9-1-m,10,8,9,1,False,0.18003600720144028,6023.1294906434505
100,10-9-1-1-m,10,9,1,1,False,2.19021902190219,2024.1603481044313
101,10-9-10-1-m,10,9,10,1,False,0.050045040536482836,4106.075215043009
102,10-9-2-1-m,10,9,2,1,False,3.270654130826165,2692.628225645129
103,10-9-3-1-m,10,9,3,1,False,3.5103510351035103,3905.4463785514204
104,10-9-4-1-m,10,9,4,1,False,0.0,4272.657726180944
105,10-9-5-1-m,10,9,5,1,False,0.15001500150015,9941.991790148179
106,10-9-6-1-m,10,9,6,1,False,0.24004800960192038,10397.93123123123
107,10-9-7-1-m,10,9,7,1,False,3.08030803080308,9814.571070820395
108,10-9-8-1-m,10,9,8,1,False,0.06000600060006001,8552.347482230454
109,10-9-9-1-m,10,9,9,1,False,0.0,6702.219343868774
110,11-1-1-1-m,11,1,1,1,False,0.07011920264449564,1410.8223822382238
111,11-1-10-1-m,11,1,10,1,False,0.08001600320064013,1629.3294988496548
112,11-1-2-1-m,11,1,2,1,False,0.14001400140014,1346.7997198879552
113,11-1-3-1-m,11,1,3,1,False,2.9502950295029504,1502.5253525352534
114,11-1-4-1-m,11,1,4,1,False,0.15001500150015,1556.5105552776388
115,11-1-5-1-m,11,1,5,1,False,0.17001700170017,1624.9049809961991
116,11-1-6-1-m,11,1,6,1,False,0.13005202080832332,2200.6545272636317
117,11-1-7-1-m,11,1,7,1,False,0.12001200120012002,2159.6431929578875
118,11-1-8-1-m,11,1,8,1,False,0.13001300130013002,2074.3585075522656
119,11-1-9-1-m,11,1,9,1,False,0.1600640256102441,1883.704652326163
120,11-10-1-1-m,11,10,1,1,False,0.040004000400040006,2264.5825165033007
121,11-10-10-1-m,11,10,10,1,False,0.24007202160648194,7989.123498799039
122,11-10-2-1-m,11,10,2,1,False,0.19005701710513154,3009.141470735368
123,11-10-3-1-m,11,10,3,1,False,0.18003600720144028,4691.9690783548485
124,11-10-4-1-m,11,10,4,1,False,0.17003400680136027,5234.834167333867
125,11-10-5-1-m,11,10,5,1,False,0.0,12606.307546036829
126,11-10-6-1-m,11,10,6,1,False,0.11001100110011,13538.15057102785
127,11-10-7-1-m,11,10,7,1,False,0.14002800560112022,13248.9481637146
128,11-10-8-1-m,11,10,8,1,False,0.19001900190019003,12190.697606888956
129,11-10-9-1-m,11,10,9,1,False,0.060012002400480095,10450.604104104104
130,11-2-1-1-m,11,2,1,1,False,0.28008402520756226,1365.0160032006402
131,11-2-10-1-m,11,2,10,1,False,0.1600480144043213,2357.6620648259304
132,11-2-2-1-m,11,2,2,1,False,0.15003000600120023,1404.8789515806322
133,11-2-3-1-m,11,2,3,1,False,0.08002400720216064,1783.7777110844338
134,11-2-4-1-m,11,2,4,1,False,0.15001500150015,1962.015106042417
135,11-2-5-1-m,11,2,5,1,False,0.060024009603841535,2829.5448814169918
136,11-2-6-1-m,11,2,6,1,False,0.040008001600320066,3463.9477738869437
137,11-2-7-1-m,11,2,7,1,False,0.15006002400960386,3404.5297178306982
138,11-2-8-1-m,11,2,8,1,False,0.07004903432402682,3181.148944683405
139,11-2-9-1-m,11,2,9,1,False,0.01000300090027008,2848.4598759255555
140,11-3-1-1-m,11,3,1,1,False,0.17003400680136027,1375.6143614361436
141,11-3-10-1-m,11,3,10,1,False,0.10003000900270081,3111.4347304191256
142,11-3-2-1-m,11,3,2,1,False,0.06006607267994795,1625.3954186255876
143,11-3-3-1-m,11,3,3,1,False,0.14001400140014,2292.707812343703
144,11-3-4-1-m,11,3,4,1,False,0.14002800560112022,2448.1776355271054
145,11-3-5-1-m,11,3,5,1,False,0.24007202160648194,4098.641528305661
146,11-3-6-1-m,11,3,6,1,False,0.15003000600120023,4789.220910455228
147,11-3-7-1-m,11,3,7,1,False,0.07000700070007,4637.124849939976
148,11-3-8-1-m,11,3,8,1,False,0.0,4352.735867933967
149,11-3-9-1-m,11,3,9,1,False,2.5502550255025502,3826.047218887555
150,11-4-1-1-m,11,4,1,1,False,4.4726836101661,1498.9949984995499
151,11-4-10-1-m,11,4,10,1,False,0.11005502751375688,3806.744972486243
152,11-4-2-1-m,11,4,2,1,False,0.08001600320064013,1847.8610583174952
153,11-4-3-1-m,11,4,3,1,False,0.21002100210021002,2578.2928878663597
154,11-4-4-1-m,11,4,4,1,False,0.22002200220022,2817.4760904361747
155,11-4-5-1-m,11,4,5,1,False,0.12002400480096019,5299.5526868808165
156,11-4-6-1-m,11,4,6,1,False,0.11002200440088017,6052.757903161265
157,11-4-7-1-m,11,4,7,1,False,2.4902490249024902,5854.092655593356
158,11-4-8-1-m,11,4,8,1,False,0.18001800180018002,5471.893357342937
159,11-4-9-1-m,11,4,9,1,False,1.9130608974358976,4787.376125675405
160,11-5-1-1-m,11,5,1,1,False,0.18005401620486144,1582.3254976492947
161,11-5-10-1-m,11,5,10,1,False,4.550455045504551,4506.271408563425
162,11-5-2-1-m,11,5,2,1,False,0.24002400240024005,2002.6222111055529
163,11-5-3-1-m,11,5,3,1,False,0.05001000200040008,2951.0911273382017
164,11-5-4-1-m,11,5,4,1,False,0.12002400480096019,3250.185292646323
165,11-5-5-1-m,11,5,5,1,False,0.13001300130013002,6514.1364227805025
166,11-5-6-1-m,11,5,6,1,False,2.1623786164781262,7299.220642706978
167,11-5-7-1-m,11,5,7,1,False,0.35003500350035005,7111.111934321186
168,11-5-8-1-m,11,5,8,1,False,0.17003400680136027,6569.305566680016
169,11-5-9-1-m,11,5,9,1,False,0.24004800960192038,5718.396977884519
170,11-6-1-1-m,11,6,1,1,False,0.11002200440088017,1703.7055822328932
171,11-6-10-1-m,11,6,10,1,False,0.34003400340034,5235.041228860202
172,11-6-2-1-m,11,6,2,1,False,0.08001600320064013,2213.762705082033
173,11-6-3-1-m,11,6,3,1,False,0.13002600520104018,3313.2661330665333
174,11-6-4-1-m,11,6,4,1,False,0.0,3618.3243621810907
175,11-6-5-1-m,11,6,5,1,False,0.22002200220022,7745.642106316948
176,11-6-6-1-m,11,6,6,1,False,0.22002200220022,8505.347882670938
177,11-6-7-1-m,11,6,7,1,False,0.0,8361.425925925925
178,11-6-8-1-m,11,6,8,1,False,0.16003200640128026,7740.688557413155
179,11-6-9-1-m,11,6,9,1,False,0.19007603041216486,6727.611661166116
180,11-7-1-1-m,11,7,1,1,False,0.17001700170017,1851.6197577820037
181,11-7-10-1-m,11,7,10,1,False,0.21002100210021002,5924.420410205103
182,11-7-2-1-m,11,7,2,1,False,0.15006002400960386,2386.6036414565824
183,11-7-3-1-m,11,7,3,1,False,0.16001600160016002,3623.330232092837
184,11-7-4-1-m,11,7,4,1,False,0.17003400680136027,4014.5183628539976
185,11-7-5-1-m,11,7,5,1,False,0.10003000900270081,8947.212812812813
186,11-7-6-1-m,11,7,6,1,False,0.3100620124024805,9783.852426213107
187,11-7-7-1-m,11,7,7,1,False,0.040004000400040006,9581.528481329462
188,11-7-8-1-m,11,7,8,1,False,0.0,8818.177513015618
189,11-7-9-1-m,11,7,9,1,False,0.3300990297089127,7661.831965572458
190,11-8-1-1-m,11,8,1,1,False,0.16001600160016002,2015.8844422211105
191,11-8-10-1-m,11,8,10,1,False,0.18005401620486144,6603.242269588712
192,11-8-2-1-m,11,8,2,1,False,0.0,2661.2482248224824
193,11-8-3-1-m,11,8,3,1,False,0.0,3997.839051715515
194,11-8-4-1-m,11,8,4,1,False,0.23002300230023,4431.9779889944975
195,11-8-5-1-m,11,8,5,1,False,0.25002500250025006,10162.390707920296
196,11-8-6-1-m,11,8,6,1,False,0.33006601320264056,11053.881276255252
197,11-8-7-1-m,11,8,7,1,False,0.29002900290029,10807.522078702314
198,11-8-8-1-m,11,8,8,1,False,1.4420188263568996,9953.458350020024
199,11-8-9-1-m,11,8,9,1,False,0.23002300230023,8561.436236236235
200,11-9-1-1-m,11,9,1,1,False,0.07000700070007,2114.8824412206104
201,11-9-10-1-m,11,9,10,1,False,0.25002500250025006,7300.001001001001
202,11-9-2-1-m,11,9,2,1,False,2.7705541108221645,2849.6170319223456
203,11-9-3-1-m,11,9,3,1,False,1.5901590159015901,4349.864532266133
